dataset,cifar10
model,vgg13
batch_size,32
epochs,200
seed,0
learning_rate,0.1
data_augmentation,True
cutout,16
budget,0.3
baseline,False
""
epoch,train_acc,test_acc,Joint_confidence_train_loss
0,"tensor(0.1821, device='cuda:0')",0.2634,0.0
1,"tensor(0.3070, device='cuda:0')",0.3815,0.0
2,"tensor(0.4051, device='cuda:0')",0.4682,0.0
3,"tensor(0.4947, device='cuda:0')",0.4713,0.0
4,"tensor(0.5433, device='cuda:0')",0.5403,0.0
5,"tensor(0.5700, device='cuda:0')",0.6024,0.0
6,"tensor(0.5894, device='cuda:0')",0.5308,0.0
7,"tensor(0.6069, device='cuda:0')",0.5527,0.0
8,"tensor(0.6139, device='cuda:0')",0.6078,0.0
9,"tensor(0.6230, device='cuda:0')",0.6134,0.0
10,"tensor(0.6307, device='cuda:0')",0.2939,0.18055699956505225
11,"tensor(0.6256, device='cuda:0')",0.6365,0.0
12,"tensor(0.6383, device='cuda:0')",0.6201,0.0
13,"tensor(0.6355, device='cuda:0')",0.6743,0.0
14,"tensor(0.6425, device='cuda:0')",0.4996,0.0
15,"tensor(0.6451, device='cuda:0')",0.6457,0.0
16,"tensor(0.6435, device='cuda:0')",0.6029,0.0
17,"tensor(0.6467, device='cuda:0')",0.5759,0.0
18,"tensor(0.6483, device='cuda:0')",0.6225,0.0
19,"tensor(0.6548, device='cuda:0')",0.5673,0.0
20,"tensor(0.6500, device='cuda:0')",0.2399,0.08881299333457461
21,"tensor(0.6460, device='cuda:0')",0.6087,0.0
22,"tensor(0.6531, device='cuda:0')",0.6831,0.0
23,"tensor(0.6558, device='cuda:0')",0.6264,0.0
24,"tensor(0.6539, device='cuda:0')",0.6323,0.0
25,"tensor(0.6565, device='cuda:0')",0.5743,0.0
26,"tensor(0.6513, device='cuda:0')",0.674,0.0
27,"tensor(0.6576, device='cuda:0')",0.6325,0.0
28,"tensor(0.6552, device='cuda:0')",0.6468,0.0
29,"tensor(0.6590, device='cuda:0')",0.6583,0.0
